"CensusTract","State","County","Urban","Pop2010","OHU2010","GroupQuartersFlag","NUMGQTRS","PCTGQTRS","LILATracts_1And10","LILATracts_halfAnd10","LILATracts_1And20","LILATracts_Vehicle","HUNVFlag","LowIncomeTracts","PovertyRate","MedianFamilyIncome","LA1and10","LAhalfand10","LA1and20","LATracts_half","LATracts1","LATracts10","LATracts20","LATractsVehicle_20","LAPOP1_10","LAPOP05_10","LAPOP1_20","LALOWI1_10","LALOWI05_10","LALOWI1_20","lapophalf","lapophalfshare","lalowihalf","lalowihalfshare","lakidshalf","lakidshalfshare","laseniorshalf","laseniorshalfshare","lawhitehalf","lawhitehalfshare","lablackhalf","lablackhalfshare","laasianhalf","laasianhalfshare","lanhopihalf","lanhopihalfshare","laaianhalf","laaianhalfshare","laomultirhalf","laomultirhalfshare","lahisphalf","lahisphalfshare","lahunvhalf","lahunvhalfshare","lasnaphalf","lasnaphalfshare","lapop1","lapop1share","lalowi1","lalowi1share","lakids1","lakids1share","laseniors1","laseniors1share","lawhite1","lawhite1share","lablack1","lablack1share","laasian1","laasian1share","lanhopi1","lanhopi1share","laaian1","laaian1share","laomultir1","laomultir1share","lahisp1","lahisp1share","lahunv1","lahunv1share","lasnap1","lasnap1share","lapop10","lapop10share","lalowi10","lalowi10share","lakids10","lakids10share","laseniors10","laseniors10share","lawhite10","lawhite10share","lablack10","lablack10share","laasian10","laasian10share","lanhopi10","lanhopi10share","laaian10","laaian10share","laomultir10","laomultir10share","lahisp10","lahisp10share","lahunv10","lahunv10share","lasnap10","lasnap10share","lapop20","lapop20share","lalowi20","lalowi20share","lakids20","lakids20share","laseniors20","laseniors20share","lawhite20","lawhite20share","lablack20","lablack20share","laasian20","laasian20share","lanhopi20","lanhopi20share","laaian20","laaian20share","laomultir20","laomultir20share","lahisp20","lahisp20share","lahunv20","lahunv20share","lasnap20","lasnap20share","TractLOWI","TractKids","TractSeniors","TractWhite","TractBlack","TractAsian","TractNHOPI","TractAIAN","TractOMultir","TractHispanic","TractHUNV","TractSNAP"
"37001020100","North Carolina","Alamance County",1,3908,1804,0,"61","1.56090071647902",1,1,1,1,1,1,"26.6300078554595","52558",1,1,1,1,1,0,0,1,"685.401895787567","3529.31002780591","685.401895787567","270.750088672154","1626.74659402112","270.750088672154","3529.31002780591","90.3098778865381","1626.74659402112","41.6260643301207","808.468460127806","20.6875245682653","485.274024211239","12.4174520013111","2332.32016144838","59.6806591977579","845.26179839042","21.6290122413106","28.9487322446657","0.740755686915705","6.00000011920929","0.153531221064721","14.9487326351227","0.382516188206825","301.830591522215","7.72340305839855","396.811398172751","10.1538228805719","214.755618123714","11.9044134214919","313.586070751772","17.3828198864619","685.401895787567","17.5384313149326","270.750088672154","6.92809848188725","137.749402127927","3.52480558157439","103.234869629145","2.64162921261885","460.528761834838","11.7842569558556","156.369431715459","4.00126488524715","3.02891961100977","0.0775056195243032","0","0","2.82140177488327","0.07219554183427","62.6533795297146","1.60320827865186","80.8257190957665","2.06821184994285","39.1253573892172","2.1688113852116","66.2414344362915","3.67191986897403","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1829","903","531","2645","883","29","6","15","330","428","243","352"
"37001020200","North Carolina","Alamance County",1,4152,1556,0,"90","2.16763005780347",0,1,0,1,1,1,"30.8988764044944","27925",0,1,0,1,0,0,0,1,"81.3179652690887","2751.23201742675","81.3179652690887","53.8923316001892","2069.00757444277","53.8923316001892","2751.23201742675","66.2628135218389","2069.00757444277","49.8315889798356","720.10349377594","17.3435330870891","348.794124196866","8.40062919549291","1251.06796647049","30.1316947608501","866.040795971872","20.8584006736963","36.0710163414478","0.86876243596936","0","0","40.0505314581096","0.964608175773353","558.001701266738","13.4393473330139","794.269683701918","19.1298093377148","111.86011282244","7.18895326622365","340.131872082478","21.8593748124986","81.3179652690887","1.95852517507439","53.8923316001892","1.2979848651298","18.7303836941719","0.451117140996433","9.43201926350594","0.227168094015076","32.161602973938","0.774605081260549","25.1465062499046","0.605648031067067","3.13666105270386","0.0755457864331372","0","0","0.958098709583282","0.0230755951248382","19.9150972664356","0.479650704875617","20.3869872838259","0.491016071383089","6.18641155958176","0.397584290461553","9.71778047084808","0.624536019977383","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2983","1080","507","1924","1239","61","0","57","871","1221","112","495"
"37001020300","North Carolina","Alamance County",1,8063,2782,0,"358","4.44003472652859",1,1,1,1,1,1,"21.1722959653042","42744",1,1,1,1,1,0,0,1,"1495.23608042486","5796.0901240306","1495.23608042486","1047.44942457601","3529.60853209789","1047.44942457601","5796.0901240306","71.8850319239811","3529.60853209789","43.7753755686207","1711.36179203179","21.2248764979758","928.619333938463","11.5170449452867","2444.42453765031","30.3165637808546","2037.24960357626","25.2666452136458","85.1275818049617","1.05578050111573","1.96211468143156","0.0243347969915857","55.2097392367141","0.684729495680443","1172.11652656249","14.5369778812165","1652.00637584808","20.4887309419333","106.336731415649","3.82231241609092","682.045898339129","24.516387431313","1495.23608042486","18.5444137470527","1047.44942457601","12.9908151379885","402.462410389446","4.99147228561882","336.723322501872","4.17615431603462","646.01593144238","8.01210382540469","521.178842950612","6.46383285316399","40.3583214442187","0.500537286918253","0.891037356341258","0.0110509407955011","4.66472314679413","0.0578534434676191","282.127221343573","3.49903536330861","330.391703238245","4.09762747411937","23.942058421293","0.860605982073797","167.942605788121","6.03675793630917","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4513","2344","1313","3454","2569","121","2","74","1843","2586","154","933"
"37001020400","North Carolina","Alamance County",1,6059,2297,0,"84","1.38636738735765",1,1,1,1,1,1,"32.5729136586774","40957",1,1,1,1,1,0,0,1,"6026.95011993777","6058.99995930772","6026.95011993777","3817.92297824193","3844.12203888688","3817.92297824193","6058.99995930772","99.9999993283994","3844.12203888688","63.4448265206615","1657.99999417504","27.3642514305173","783.999998207786","12.939428919092","1529.99999173684","25.2516915619218","3668.99997478654","60.5545465388106","18.9999992565718","0.313583087251556","10.9999997317791","0.181548105822398","24.999999689695","0.412609336354101","804.999994165031","13.2860206992083","1166.99998602853","19.2606038294856","247.675852780754","10.7825795725187","757.283450853196","32.968369649682","6026.95011993777","99.4710368037262","3817.92297824193","63.0124274342619","1649.7478537783","27.2280550219228","780.423494530492","12.8804009660091","1519.53204962378","25.0789247338469","3650.70015068655","60.2525194039701","18.9999992565718","0.313583087251556","10.9999997317791","0.181548105822398","24.999999689695","0.412609336354101","801.717922313837","13.2318521590005","1160.05492151366","19.1459798896461","246.421009816986","10.7279499267299","753.249863567878","32.7927672428332","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4180","1658","784","1530","3669","19","11","25","805","1167","261","813"
"37001020501","North Carolina","Alamance County",1,3575,1409,0,"0","0",1,1,1,0,0,1,"24.1112385321101","60461",1,1,1,1,1,0,0,0,"1687.11526404898","3085.31814927998","1687.11526404898","933.322937846219","1513.30222459094","933.322937846219","3085.31814927998","86.3026055742653","1513.30222459094","42.33013215639","622.652364767775","17.4168493641336","419.918698558748","11.7459775820629","2558.66030574119","71.5709176431103","331.537719662443","9.27378236818023","19.1394421026525","0.535369009864407","0.999999985098839","0.0279720275552123","14.7735895905062","0.4132472612729","160.207106404569","4.48131766166625","221.041467835059","6.18297812126039","2.81005720976464","0.199436281743409","186.876318908582","13.263046054548","1687.11526404898","47.1920353580135","933.322937846219","26.1069353243698","337.97900068426","9.45395806109817","207.440744472016","5.80253830690955","1484.82329833549","41.5335188345592","117.517763109088","3.28721015689757","5.70955664757639","0.159707878253885","0.0466448813676834","0.00130475192636877","10.1619503768161","0.28425036019066","68.856056732222","1.92604354495726","94.1312829466569","2.63304287962677","0.22821388590819","0.0161968691205245","99.2962755113782","7.04728711933131","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1654","741","484","2756","518","20","1","20","260","340","4","220"
"37001020502","North Carolina","Alamance County",1,3782,1328,0,"167","4.41565309360127",1,1,1,1,1,1,"26.4959310674964","50595",1,1,1,1,1,0,0,1,"1623.05088128499","3330.743468348","1623.05088128499","781.230682250927","1737.67409082485","781.230682250927","3330.743468348","88.0683095808566","1737.67409082485","45.9459040408473","983.343704781437","26.0006267789909","295.58587710503","7.8155969620579","1486.96119630034","39.3167952485548","1320.090699313","34.9045663488367","45.0250033810735","1.19050775729967","0","0","25.6624448971706","0.678541641913555","453.004108793699","11.9778981701137","717.109040563548","18.9611063078675","168.537523419895","12.6910785707752","266.811441185087","20.0912229808048","1623.05088128499","42.91514757496","781.230682250927","20.6565489754344","434.053077506542","11.4768132603528","153.915407333585","4.06968290146972","709.665455856943","18.7642902130339","698.449466875987","18.4677278391324","25.0344978971407","0.661938072372837","0","0","9.24446023721248","0.244433110449828","180.656995286088","4.77675820428578","213.303714969719","5.63997131067476","76.7883298877132","5.78225375660491","124.802606126454","9.39778660590765","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2249","1130","338","1632","1560","47","0","30","513","836","217","347"
"37001020601","North Carolina","Alamance County",1,3234,1360,0,"0","0",0,0,0,0,0,0,"2.54614894971356","103309",1,1,1,1,1,0,0,0,"500.120100184564","2265.07781135127","500.120100184564","69.0988000028125","205.461012942568","69.0988000028125","2265.07781135127","70.0395117919377","205.461012942568","6.35315438907137","404.985645844019","12.5227472431669","651.926613601014","20.1585223747994","2146.58902087248","66.3756654567865","49.9864649016527","1.54565444964912","20.5367087621707","0.635025008106702","1","0.0309214594928881","2.59161794144893","0.0801366091975551","44.3739890131073","1.37210850380666","55.66587342598","1.72127005027767","24.0000002779682","1.76470590279178","6.36518585457943","0.468028371660252","500.120100184564","15.4644434194361","69.0988000028125","2.13663574529414","87.772270780988","2.71404671555312","143.81712854629","4.44703551472759","474.271256243099","14.6651594385621","12.7651395220309","0.394716744651545","8.4600720203016","0.261597774282671","0","0","0.997074961662292","0.0308310130384135","3.62656015530229","0.112138532940701","7.43902381137013","0.230025473449911","10.8747174549183","0.79961157756752","1.47970938723337","0.108802160825983","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","231","619","877","3022","92","46","1","3","70","86","23","9"
"37001020602","North Carolina","Alamance County",1,2414,1140,0,"51","2.11267605633803",0,0,0,0,0,0,"6.89795918367347","78707",0,1,0,1,0,0,0,0,"1.3047422170639","1608.8321530493","1.3047422170639","0.265539914369583","380.484810602968","0.265539914369583","1608.8321530493","66.6459052630198","380.484810602968","15.7615911600235","272.566430714738","11.291070037893","469.929890071333","19.4668554296327","1453.30756583315","60.2032960162863","81.7045770109107","3.38461379498387","10.1325403741794","0.419740694870728","0.999999999534339","0.0414250206932203","5.13788539171219","0.212837008770182","57.5495656536077","2.38399194919667","51.2675926827942","2.12376108876529","31.9652036297484","2.80396523067969","67.241047463951","5.8983374968378","1.3047422170639","0.0540489733663589","0.265539914369583","0.0109999964527582","0.248522326350212","0.0102950425165788","0.372783482074738","0.0154425634662277","1.3047422170639","0.0540489733663589","0","0","0","0","0","0","0","0","0","0","0","0","0.0253954511135817","0.00222767115031418","0.0467392615973949","0.00409993522784166","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","679","431","616","2133","147","17","1","7","109","115","44","107"
"37001020701","North Carolina","Alamance County",1,4519,2213,0,"14","0.309803053772959",0,0,0,0,0,0,"9.17079765660207","61610",0,1,0,1,0,0,0,0,"62.4543927307241","1576.81377375266","62.4543927307241","12.8429592599859","415.414177704952","12.8429592599859","1576.81377375266","34.8929801671311","415.414177704952","9.19261291668404","296.691588045098","6.56542571465143","329.302075349726","7.28705632550843","1285.79603936477","28.4531099660271","155.599886837881","3.44323715065017","67.9743327945471","1.50418970556643","2.01722745038569","0.0446388017345804","10.1027520415373","0.223561673855661","55.3235400689882","1.22424297563594","57.2514494354837","1.26690527628864","72.6848924988917","3.28445063257531","66.0787301900127","2.98593448667025","62.4543927307241","1.38204011353671","12.8429592599859","0.284199142730382","19.2720351316966","0.426466809729954","5.79885932803154","0.128321737730284","28.731116830837","0.635784838035782","8.6435718536377","0.191271782554496","22.7223658561707","0.50281845222772","0","0","0","0","2.35733771324158","0.052165030166886","1.57155847549438","0.034776686777924","0.489908560299227","0.0221377569046194","1.79781549570907","0.0812388384866278","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1145","831","1085","3442","600","228","3","24","222","238","168","177"
"37001020702","North Carolina","Alamance County",1,4742,2137,0,"0","0",1,1,1,0,0,1,"27.5217668294755","44422",1,1,1,1,1,0,0,0,"558.4978693577","3938.25029923324","558.4978693577","379.077877388219","1802.51892343216","379.077877388219","3938.25029923324","83.0504069850958","1802.51892343216","38.0117866603155","928.592448627591","19.5822954160184","481.940124743473","10.1632248996936","2657.21702792204","56.0357871767618","896.560934097164","18.906810082184","77.7010638029897","1.63857156902129","7.99999975468381","0.168705182511257","12.9999999646097","0.274145929241032","285.771265290146","6.02638686820216","329.482140757798","6.94816829940528","39.0550683236215","1.82756519998229","146.196032391628","6.84118073896248","558.4978693577","11.7776859839245","379.077877388219","7.99405055647869","132.963662015274","2.80395744443851","77.6905991742387","1.63835088937661","414.612257916597","8.74340484851533","111.022471621713","2.34125836401756","10.6818814054132","0.225261100915503","0.499347150325775","0.0105303068394301","2.58158765546978","0.054440903742509","19.1003223174121","0.402790432674232","25.9570496865417","0.547386117388058","4.15876830741763","0.1946077822844","19.7586292439155","0.924596595410178","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2238","1123","599","3142","1117","93","8","13","369","469","44","187"
